Ref,Val,Package,PosX,PosY,Rot,Side
"FID3","Fiducial","Fiducial1x3",47.825000,63.950000,0.000000,top
"I²C0","Conn_01x04_P1.00mm_Stemma qt/Qwiic","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",4.060000,3.440000,0.000000,top
"I²C1","Conn_01x04_P1.00mm_Stemma qt/Qwiic","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",11.930000,3.440000,0.000000,top
"I²C2","Conn_01x04_P1.00mm_Stemma qt/Qwiic","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",19.800000,3.437649,0.000000,top
"I²C3","Conn_01x04_P1.00mm_Stemma qt/Qwiic","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",27.670000,3.436721,0.000000,top
"I²C4","Conn_01x04_P1.00mm_Stemma qt/Qwiic","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",43.990000,3.433893,0.000000,top
"I²C5","Conn_01x04_P1.00mm_Stemma qt/Qwiic","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",51.860000,3.434115,0.000000,top
"I²C6","Conn_01x04_P1.00mm_Stemma qt/Qwiic","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",59.730000,3.435112,0.000000,top
"I²C7","Conn_01x04_P1.00mm_Stemma qt/Qwiic","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",67.610000,3.435000,0.000000,top
"J1","Conn_02x02_P4.20mm_Molex_Horizontal","Molex_Mini-Fit_Jr_5569-04A1_2x02_P4.20mm_Horizontal",57.165000,50.900000,-90.000000,top
"L1","FB0805/600R/2A","L_0805_5MIL_DWS",16.506000,37.844000,0.000000,top
"L2","FB0805/600R/2A","L_0805_5MIL_DWS",37.969000,36.193000,90.000000,top
"L3","FB0805/600R/2A","L_0805_5MIL_DWS",16.633000,25.271000,180.000000,top
"LAN1","RJLD-060TC1(LPJ4013EDNL)","RJLBC-060TC1",32.000000,61.466000,180.000000,top
"LED1","LED/GREEN/0603","LED_0603_KA",45.699500,58.900000,180.000000,top
"MH1","Mounting_hole_Shield_3.3mm","Mounting_hole_Shield_3.3mm",46.732000,68.705000,0.000000,top
"MH2","Mounting_hole_Shield_3.3mm","Mounting_hole_Shield_3.3mm",3.552000,17.524000,0.000000,top
"MICRO_SD1","TFC-WXCP11-08-LF","TFC-WXCP11-08-LF",6.727000,28.700000,180.000000,top
"PWRLED1","LED/RED/0603","LED_0603_KA",45.699500,54.455000,180.000000,top
"Q1","Q12MHz/20pF/30ppm/2P/HC-49SM(SMD)","Q_49U3HMS",33.016000,27.430000,0.000000,top
"Q2","BC817-40(SOT23)","SOT23",21.332000,23.620000,0.000000,top
"Q3","BC817-40(SOT23)","SOT23",21.205000,20.064000,0.000000,top
"R1","1k/R0603","0603",20.189000,42.289000,180.000000,top
"R2","10k/R0603","0603",20.188999,39.241000,0.000000,top
"R3","5.1k/R0603","0603",51.250000,61.350000,0.000000,top
"R4","5.1k/R0603","0603",58.325000,61.350000,0.000000,top
"R5","330R/R0603","0603",22.094000,67.435000,90.000000,top
"R6","330R/R0603","0603",42.033000,62.863000,-90.000000,top
"R7","49.9R/1%/R0603","0603",28.952000,48.131000,-90.000000,top
"R8","49.9R/1%/R0603","0603",26.666000,48.131000,-90.000000,top
"R9","49.9R/1%/R0603","0603",32.762000,48.131000,-90.000000,top
"R10","49.9R/1%/R0603","0603",30.476000,48.131000,-90.000000,top
"R11","10k/R0603","0603",32.127000,15.301500,0.000000,top
"R12","10k/R0603","0603",40.255000,20.826000,0.000000,top
"R13","1M/R0603","0603",44.192000,35.939000,180.000000,top
"R14","2.2k/R0603","0603",45.699500,52.677000,180.000000,top
"R15","1k/R0603","0603",25.269000,22.858000,180.000000,top
"R16","1k/R0603","0603",22.310000,16.731640,90.000000,top
"R17","220R/R0603","0603",17.649000,20.064000,180.000000,top
"R18","10k/R0603","0603",36.318000,39.625000,0.000000,top
"R19","12.1k/1%/R0603","0603",23.999000,46.734000,180.000000,top
