Designator,Mid X,Mid Y,Rotation,Layer
_2,26.3,54.775,0.0,top
,37.715,52.225,0.0,top
BUT1,5.584,42.67,180.0,top
C1,65.81,65.82,90.0,top
C10,34.54,35.812,90.0,top
C11,46.475,17.7276,90.0,top
C12,36.826,48.131,270.0,top
C13,39.874,35.939,270.0,top
C14,28.19,35.812,270.0,top
C15,35.175,48.131,270.0,top
C16,23.999,44.956,180.0,top
C17,23.999,40.003,180.0,top
C18,23.999,41.527,180.0,top
C19,46.225,26.4,180.0,top
C2,20.188999,40.765,0.0,top
C20,36.318,41.146,180.0,top
C21,43.425,17.7276,90.0,top
C22,18.538,21.715,180.0,top
C23,38.625,9.21918,180.0,top
C24,16.633,27.176,0.0,top
C25,2.21,7.48,0.0,top
C26,10.08,7.48,0.0,top
C27,17.94,7.48,0.0,top
C28,25.82084,7.476721,180.0,top
C29,42.14084,7.473893,0.0,top
C3,22.475,54.608,270.0,top
C30,50.00916,7.474115,0.0,top
C31,57.88084,7.475112,0.0,top
C32,65.75156,7.475,0.0,top
C4,22.475,62.228,90.0,top
C5,36.064,35.812,90.0,top
C6,26.95,16.95,270.0,top
C7,40.255,22.35,0.0,top
C8,25.269,25.525,180.0,top
C9,40.763,25.525,0.0,top
CON1,25.396,11.809,0.0,top
D1,45.97,33.145,180.0,top
D2,46.224,29.843,180.0,top
D3,39.874,17.016,270.0,top
D4,37.842,17.016,90.0,top
D5,16.633,40.257,180.0,top
FET1,20.062,36.32,90.0,top
FET2,47.748,36.828,270.0,top
I²C0,4.06,3.44,0.0,top
I²C1,11.93,3.44,0.0,top
I²C2,19.8,3.437649,0.0,top
I²C3,27.67,3.436721,0.0,top
I²C4,43.99,3.433893,0.0,top
I²C5,51.86,3.434115,0.0,top
I²C6,59.73,3.435112,0.0,top
I²C7,67.61,3.435,0.0,top
J1,57.165,50.9,270.0,top
L1,16.506,37.844,0.0,top
L2,37.969,36.193,90.0,top
L3,16.633,25.271,180.0,top
LAN1,32.0,61.466,180.0,top
LED,46.47,53.69,90.0,bottom
LED1,45.6995,58.9,180.0,top
MH1,46.732,68.705,0.0,top
MH2,3.552,17.524,0.0,top
MICRO_SD1,6.727,28.7,180.0,top
PWRLED1,45.6995,54.455,180.0,top
Q1,33.016,27.43,0.0,top
Q2,21.332,23.62,0.0,top
Q3,21.205,20.064,0.0,top
R1,20.189,42.289,180.0,top
R10,30.476,48.131,270.0,top
R11,32.127,15.3015,0.0,top
R12,40.255,20.826,0.0,top
R13,44.192,35.939,180.0,top
R14,45.6995,52.677,180.0,top
R15,25.269,22.858,180.0,top
R16,22.31,16.73164,90.0,top
R17,17.649,20.064,180.0,top
R18,36.318,39.625,0.0,top
R19,23.999,46.734,180.0,top
R2,20.188999,39.241,0.0,top
R20,12.696,39.241,180.0,top
R21,11.5,19.94,180.0,top
R22,17.014,23.366,180.0,top
R23,16.887,35.177,180.0,top
R24,16.887,33.653,180.0,top
R25,8.251,19.937,180.0,top
R26,32.07,9.22,0.0,top
R27,42.1,8.98,180.0,top
R28,35.345,9.22,180.0,top
R29,4.56,8.38836,270.0,top
R3,51.25,61.35,0.0,top
R30,12.43,8.38836,270.0,top
R31,20.3,8.387649,270.0,top
R32,28.17,8.386721,270.0,top
R33,6.035,8.39,270.0,top
R34,13.905,8.39,270.0,top
R35,21.775,8.387649,270.0,top
R36,29.645,8.386721,270.0,top
R37,45.6995,57.122,0.0,top
R38,11.5,21.464,180.0,top
R39,16.633,28.954,180.0,top
R4,58.325,61.35,0.0,top
R40,12.696,35.939,180.0,top
R41,16.887,31.875,0.0,top
R42,8.251,21.461,180.0,top
R43,44.49,8.382253,270.0,top
R44,52.36,8.380835,270.0,top
R45,60.23,8.385112,270.0,top
R46,68.10072,8.38828,270.0,top
R47,45.965,8.383893,270.0,top
R48,53.835,8.384115,270.0,top
R49,61.705,8.385112,270.0,top
R5,22.094,67.435,90.0,top
R50,69.57572,8.385,270.0,top
R51,12.696,44.067,0.0,top
R52,12.696,42.543,180.0,top
R53,12.696,41.019,0.0,top
R6,42.033,62.863,270.0,top
R7,28.952,48.131,270.0,top
R8,26.666,48.131,270.0,top
R9,32.762,48.131,270.0,top
RESET,36.135488,39.3015,90.0,bottom
RM1,31.365,35.812,180.0,top
RM2,25.015,35.812,0.0,top
RST1,5.584,36.828,180.0,top
Sign-Antistatic,71.092,41.8855,0.0,bottom
Sign-RecyclBin,69.91,51.927,0.0,bottom
Sign_Pb-Free,54.6232,55.71496,180.0,bottom
Sign_RoHS,65.66,34.9865,0.0,bottom
T1,18.792,44.702,180.0,top
U1,54.975,68.45,90.0,top
U2,51.61,30.925,270.0,top
U3,32.127,20.064,90.0,top
U4,30.349,41.781,270.0,top
U5,51.61,18.85,270.0,top
U6,35.85,4.315,0.0,top
U7,10.41,59.942,0.0,top
